   1 	     2.7163 
   2 	     5.5334 
   3 	     8.2493 
   4 	    10.9733 
   5 	    13.7465 
   6 	    16.4518 
   7 	    19.2131 
   8 	    21.9074 
   9 	    24.6603 
  10 	    27.4275 
  11 	    30.1297 
  12 	    32.8640 
  13 	    35.5792 
  14 	    38.3662 
  15 	    41.0498 
  16 	    43.8151 
  17 	    46.5296 
  18 	    49.2360 
  19 	    52.0360 
  20 	    54.6455 
  21 	    57.4538 
  22 	    60.1898 
  23 	    62.9314 
  24 	    65.6586 
  25 	    68.3958 
  26 	    71.1315 
  27 	    73.8646 
  28 	    76.5900 
  29 	    79.3797 
  30 	    82.0978 
  31 	    84.8821 
  32 	    87.5484 
  33 	    90.1901 
  34 	    93.0040 
  35 	    95.6896 
  36 	    98.4474 
