   1 	     3.5431 
   2 	     6.2073 
   3 	     8.9910 
   4 	    11.6912 
   5 	    14.3776 
   6 	    17.1004 
   7 	    19.9045 
   8 	    22.6193 
   9 	    25.4078 
  10 	    28.0606 
  11 	    30.8143 
  12 	    33.5534 
  13 	    36.2464 
  14 	    38.9838 
  15 	    41.7271 
  16 	    44.4963 
  17 	    47.2379 
  18 	    49.9297 
  19 	    52.6995 
  20 	    55.4111 
  21 	    58.1426 
  22 	    60.8770 
  23 	    63.5907 
  24 	    66.3367 
  25 	    69.1330 
  26 	    71.8229 
  27 	    74.5698 
  28 	    77.2956 
  29 	    79.9885 
  30 	    82.8113 
  31 	    85.4046 
  32 	    88.2078 
  33 	    90.9584 
  34 	    93.6887 
  35 	    96.4226 
  36 	    99.1068 
  37 	   101.9053 
  38 	   104.5295 
  39 	   107.3971 
  40 	   110.0551 
  41 	   112.8242 
  42 	   115.5810 
  43 	   118.1716 
  44 	   121.0031 
  45 	   123.7091 
  46 	   126.4758 
  47 	   129.1919 
  48 	   131.9782 
  49 	   134.6859 
  50 	   137.3997 
  51 	   140.0882 
  52 	   142.8481 
  53 	   145.6252 
  54 	   148.3540 
  55 	   151.0418 
  56 	   153.8213 
  57 	   156.5352 
  58 	   159.3532 
  59 	   162.0285 
  60 	   164.7441 
  61 	   167.4616 
  62 	   170.1558 
  63 	   172.9299 
  64 	   175.6860 
  65 	   178.3706 
  66 	   181.1042 
  67 	   183.8706 
  68 	   186.6192 
  69 	   189.3355 
  70 	   192.1345 
  71 	   194.8101 
  72 	   197.5682 
  73 	   200.2564 
  74 	   202.9978 
  75 	   205.7528 
  76 	   208.4746 
  77 	   211.2293 
  78 	   213.9698 
  79 	   216.6861 
  80 	   219.3869 
  81 	   222.1653 
  82 	   224.8857 
  83 	   227.5965 
  84 	   230.3206 
  85 	   233.0530 
  86 	   235.8032 
  87 	   238.5339 
  88 	   241.2142 
  89 	   243.9919 
  90 	   246.7545 
  91 	   249.5041 
  92 	   252.2347 
  93 	   254.9522 
  94 	   257.6564 
  95 	   260.3681 
  96 	   263.0524 
  97 	   265.8438 
  98 	   268.5970 
  99 	   271.3587 
