   1 	     3.2769 
   2 	     3.8750 
   3 	     4.4440 
   4 	     5.0247 
   5 	     5.6401 
   6 	     6.2439 
   7 	     6.8848 
   8 	     7.4672 
   9 	     8.1602 
  10 	    18.2304 
